Operaciones,Longs,Shorts,Ganadoras,Perdedoras,Saldo Final,Rentabilidad (%),RSI_CORTE,ADX_THRESHOLD,DI_PERCENTILE,DI_WINDOW,TP,SL,Win %,ProfitFactor
2,0,2,2,0,212.18,6.09,45,18,0.5,50,3,-5,100.0,2.0
2,0,2,2,0,216.32,8.16,50,18,0.5,50,4,-12,100.0,2.0
2,0,2,2,0,220.5,10.25,55,18,0.5,50,5,-8,100.0,2.0
2,0,2,2,0,220.5,10.25,55,18,0.5,50,5,-10,100.0,2.0
2,0,2,2,0,220.5,10.25,55,18,0.5,50,5,-12,100.0,2.0
2,0,2,2,0,220.5,10.25,50,18,0.5,50,5,-12,100.0,2.0
2,0,2,2,0,220.5,10.25,50,18,0.5,50,5,-10,100.0,2.0
2,0,2,2,0,220.5,10.25,50,18,0.5,50,5,-8,100.0,2.0
2,0,2,2,0,220.5,10.25,50,18,0.5,50,5,-5,100.0,2.0
2,0,2,2,0,216.32,8.16,50,18,0.5,50,4,-10,100.0,2.0
3,1,2,2,1,190.36,-4.82,45,18,0.5,150,4,-12,66.67,2.0
2,0,2,2,0,216.32,8.16,50,18,0.5,50,4,-8,100.0,2.0
2,0,2,2,0,216.32,8.16,50,18,0.5,50,4,-5,100.0,2.0
2,0,2,2,0,212.18,6.09,45,18,0.5,50,3,-8,100.0,2.0
2,0,2,2,0,216.32,8.16,55,18,0.5,50,4,-8,100.0,2.0
3,1,2,2,1,194.04,-2.98,45,18,0.5,150,5,-12,66.67,2.0
3,1,2,2,1,198.45,-0.77,45,18,0.5,150,5,-10,66.67,2.0
3,1,2,2,1,202.86,1.43,45,18,0.5,150,5,-8,66.67,2.0
2,0,2,2,0,220.5,10.25,55,18,0.5,50,5,-5,100.0,2.0
2,0,2,2,0,216.32,8.16,55,18,0.5,50,4,-12,100.0,2.0
2,0,2,2,0,216.32,8.16,55,18,0.5,50,4,-10,100.0,2.0
2,0,2,2,0,212.18,6.09,55,18,0.5,50,3,-5,100.0,2.0
2,0,2,2,0,212.18,6.09,55,18,0.5,50,3,-12,100.0,2.0
3,1,2,2,1,201.57,0.79,50,18,0.5,150,3,-5,66.67,2.0
3,1,2,2,1,195.21,-2.4,50,18,0.5,150,3,-8,66.67,2.0
3,1,2,2,1,190.96,-4.52,50,18,0.5,150,3,-10,66.67,2.0
3,1,2,2,1,186.72,-6.64,50,18,0.5,150,3,-12,66.67,2.0
3,1,2,2,1,205.5,2.75,50,18,0.5,150,4,-5,66.67,2.0
3,1,2,2,1,199.01,-0.49,50,18,0.5,150,4,-8,66.67,2.0
3,1,2,2,1,194.69,-2.66,50,18,0.5,150,4,-10,66.67,2.0
3,1,2,2,1,190.36,-4.82,50,18,0.5,150,4,-12,66.67,2.0
3,1,2,2,1,209.48,4.74,50,18,0.5,150,5,-5,66.67,2.0
3,1,2,2,1,202.86,1.43,50,18,0.5,150,5,-8,66.67,2.0
3,1,2,2,1,198.45,-0.77,50,18,0.5,150,5,-10,66.67,2.0
3,1,2,2,1,194.04,-2.98,50,18,0.5,150,5,-12,66.67,2.0
2,0,2,2,0,212.18,6.09,55,18,0.5,50,3,-10,100.0,2.0
2,0,2,2,0,212.18,6.09,55,18,0.5,50,3,-8,100.0,2.0
3,1,2,2,1,209.48,4.74,45,18,0.5,150,5,-5,66.67,2.0
2,0,2,2,0,212.18,6.09,50,18,0.5,50,3,-12,100.0,2.0
3,1,2,2,1,194.69,-2.66,45,18,0.5,150,4,-10,66.67,2.0
3,1,2,2,1,199.01,-0.49,45,18,0.5,150,4,-8,66.67,2.0
3,1,2,2,1,198.45,-0.77,55,18,0.5,150,5,-10,66.67,2.0
3,1,2,2,1,202.86,1.43,55,18,0.5,150,5,-8,66.67,2.0
3,1,2,2,1,209.48,4.74,55,18,0.5,150,5,-5,66.67,2.0
3,1,2,2,1,190.36,-4.82,55,18,0.5,150,4,-12,66.67,2.0
3,1,2,2,1,194.69,-2.66,55,18,0.5,150,4,-10,66.67,2.0
3,1,2,2,1,199.01,-0.49,55,18,0.5,150,4,-8,66.67,2.0
3,1,2,2,1,205.5,2.75,55,18,0.5,150,4,-5,66.67,2.0
3,1,2,2,1,186.72,-6.64,55,18,0.5,150,3,-12,66.67,2.0
3,1,2,2,1,190.96,-4.52,55,18,0.5,150,3,-10,66.67,2.0
3,1,2,2,1,195.21,-2.4,55,18,0.5,150,3,-8,66.67,2.0
3,1,2,2,1,201.57,0.79,55,18,0.5,150,3,-5,66.67,2.0
2,0,2,2,0,220.5,10.25,45,18,0.5,50,5,-12,100.0,2.0
2,0,2,2,0,220.5,10.25,45,18,0.5,50,5,-10,100.0,2.0
2,0,2,2,0,220.5,10.25,45,18,0.5,50,5,-8,100.0,2.0
2,0,2,2,0,220.5,10.25,45,18,0.5,50,5,-5,100.0,2.0
2,0,2,2,0,216.32,8.16,45,18,0.5,50,4,-12,100.0,2.0
2,0,2,2,0,216.32,8.16,45,18,0.5,50,4,-10,100.0,2.0
2,0,2,2,0,216.32,8.16,45,18,0.5,50,4,-8,100.0,2.0
2,0,2,2,0,216.32,8.16,45,18,0.5,50,4,-5,100.0,2.0
