Datetime,index,Open,High,Low,Close,Volume
2025-06-02 19:50:00-04:00,0,105845.8,105870.0,105830.6,105868.9,120.776
2025-06-02 19:45:00-04:00,1,105857.2,105877.6,105783.0,105845.7,509.244
2025-06-02 19:40:00-04:00,2,105789.8,105893.8,105729.7,105857.3,830.27
2025-06-02 19:35:00-04:00,3,105744.5,105795.7,105728.9,105789.7,215.648
2025-06-02 19:30:00-04:00,4,105801.1,105828.5,105666.8,105744.4,541.355
2025-06-02 19:25:00-04:00,5,105864.0,105876.0,105733.6,105801.0,654.358
2025-06-02 19:20:00-04:00,6,105725.4,105872.0,105725.4,105864.0,951.428
2025-06-02 19:15:00-04:00,7,105712.2,105734.4,105621.5,105725.4,319.788
2025-06-02 19:10:00-04:00,8,105707.7,105739.9,105662.1,105712.1,292.344
2025-06-02 19:05:00-04:00,9,105710.9,105750.0,105517.1,105707.7,602.807
2025-06-02 19:00:00-04:00,10,105650.0,105745.0,105581.8,105711.0,731.462
2025-06-02 18:55:00-04:00,11,105660.9,105661.0,105600.0,105649.9,324.23
2025-06-02 18:50:00-04:00,12,105633.4,105672.4,105604.0,105661.0,291.186
2025-06-02 18:45:00-04:00,13,105473.5,105645.6,105461.3,105633.4,517.725
2025-06-02 18:40:00-04:00,14,105531.9,105532.0,105428.9,105473.6,521.778
2025-06-02 18:35:00-04:00,15,105627.5,105688.4,105483.8,105531.9,787.662
2025-06-02 18:30:00-04:00,16,105719.1,105737.1,105601.6,105627.6,793.089
2025-06-02 18:25:00-04:00,17,105519.0,105769.0,105518.0,105719.1,2494.911
2025-06-02 18:20:00-04:00,18,105359.1,105550.3,105282.4,105519.0,2374.591
2025-06-02 18:15:00-04:00,19,105177.0,105388.9,105139.9,105359.2,1501.597
2025-06-02 18:10:00-04:00,20,105048.3,105181.7,104994.9,105177.1,495.982
2025-06-02 18:05:00-04:00,21,105108.5,105170.0,104992.6,105048.4,484.445
2025-06-02 18:00:00-04:00,22,104886.2,105191.3,104878.1,105108.4,1010.482
2025-06-02 17:55:00-04:00,23,104804.8,104886.2,104797.0,104886.1,130.131
2025-06-02 17:50:00-04:00,24,104716.3,104804.8,104716.3,104804.8,135.25
2025-06-02 17:45:00-04:00,25,104640.4,104759.3,104636.6,104716.2,141.688
2025-06-02 17:40:00-04:00,26,104744.5,104752.6,104618.8,104640.4,213.196
2025-06-02 17:35:00-04:00,27,104557.0,104744.5,104523.5,104744.5,291.311
2025-06-02 17:30:00-04:00,28,104745.4,104745.4,104557.0,104557.0,267.632
2025-06-02 17:25:00-04:00,29,104758.8,104758.8,104722.6,104745.4,126.768
2025-06-02 17:20:00-04:00,30,104820.0,104820.1,104687.9,104758.9,250.168
2025-06-02 17:15:00-04:00,31,104934.8,104947.6,104820.0,104820.1,201.515
2025-06-02 17:10:00-04:00,32,104972.1,104979.3,104889.9,104934.9,259.983
2025-06-02 17:05:00-04:00,33,104933.2,105068.0,104929.3,104972.1,981.439
2025-06-02 17:00:00-04:00,34,104829.2,104945.0,104815.8,104933.2,460.18
2025-06-02 16:55:00-04:00,35,104663.8,104863.3,104663.7,104829.2,454.397
2025-06-02 16:50:00-04:00,36,104745.5,104758.7,104603.0,104663.9,272.373
2025-06-02 16:45:00-04:00,37,104750.8,104767.9,104687.3,104745.5,144.494
2025-06-02 16:40:00-04:00,38,104699.9,104775.7,104699.9,104750.8,144.327
2025-06-02 16:35:00-04:00,39,104671.7,104705.3,104650.0,104700.0,178.918
2025-06-02 16:30:00-04:00,40,104774.1,104819.2,104663.7,104671.7,358.854
2025-06-02 16:25:00-04:00,41,104746.9,104781.0,104709.9,104774.0,276.934
2025-06-02 16:20:00-04:00,42,104758.4,104788.2,104700.0,104747.0,617.926
2025-06-02 16:15:00-04:00,43,104857.1,104962.7,104730.0,104758.5,857.848
2025-06-02 16:10:00-04:00,44,104683.0,104894.0,104628.7,104857.1,1683.714
2025-06-02 16:05:00-04:00,45,104475.4,104688.5,104419.3,104683.0,541.36
2025-06-02 16:00:00-04:00,46,104366.5,104475.7,104366.5,104475.4,440.33
2025-06-02 15:55:00-04:00,47,104338.3,104403.8,104333.3,104366.4,266.102
2025-06-02 15:50:00-04:00,48,104203.3,104341.3,104203.3,104338.2,343.804
2025-06-02 15:45:00-04:00,49,104074.0,104207.1,103994.1,104203.3,422.881
2025-06-02 15:40:00-04:00,50,104200.0,104200.1,103984.2,104074.1,669.02
2025-06-02 15:35:00-04:00,51,104181.0,104242.5,104179.0,104200.0,149.149
2025-06-02 15:30:00-04:00,52,104335.4,104346.6,104180.9,104180.9,203.335
2025-06-02 15:25:00-04:00,53,104395.7,104416.5,104316.0,104335.4,145.11
2025-06-02 15:20:00-04:00,54,104263.7,104422.0,104263.7,104395.7,265.352
2025-06-02 15:15:00-04:00,55,104198.0,104281.5,104192.0,104263.8,128.104
2025-06-02 15:10:00-04:00,56,104369.0,104369.0,104192.9,104198.0,233.568
2025-06-02 15:05:00-04:00,57,104434.3,104460.0,104296.1,104369.0,192.055
2025-06-02 15:00:00-04:00,58,104308.7,104460.8,104296.9,104434.2,289.682
2025-06-02 14:55:00-04:00,59,104238.6,104308.8,104184.6,104308.8,207.393
2025-06-02 14:50:00-04:00,60,104179.6,104240.0,104160.2,104238.6,203.12
2025-06-02 14:45:00-04:00,61,104335.1,104356.3,104142.8,104179.6,569.669
2025-06-02 14:40:00-04:00,62,104265.3,104352.8,104252.9,104335.1,258.405
2025-06-02 14:35:00-04:00,63,104362.8,104362.9,104250.0,104265.2,610.537
2025-06-02 14:30:00-04:00,64,104557.9,104580.9,104320.9,104362.9,782.849
2025-06-02 14:25:00-04:00,65,104560.4,104699.4,104550.0,104557.9,928.318
2025-06-02 14:20:00-04:00,66,104368.5,104568.0,104353.9,104560.5,605.211
2025-06-02 14:15:00-04:00,67,104349.3,104396.4,104304.0,104368.5,177.608
2025-06-02 14:10:00-04:00,68,104367.2,104395.1,104277.3,104349.3,227.531
2025-06-02 14:05:00-04:00,69,104376.8,104428.0,104328.0,104367.2,405.375
2025-06-02 14:00:00-04:00,70,104345.6,104396.4,104313.9,104376.8,289.756
2025-06-02 13:55:00-04:00,71,104253.5,104390.5,104250.8,104345.6,241.64
2025-06-02 13:50:00-04:00,72,104259.1,104279.9,104200.2,104253.5,154.382
2025-06-02 13:45:00-04:00,73,104142.1,104270.7,104109.3,104259.0,169.158
2025-06-02 13:40:00-04:00,74,104246.2,104246.2,104103.0,104142.1,308.949
2025-06-02 13:35:00-04:00,75,104288.2,104297.1,104191.8,104246.1,252.192
2025-06-02 13:30:00-04:00,76,104359.9,104429.5,104285.1,104288.2,270.828
2025-06-02 13:25:00-04:00,77,104378.3,104451.1,104301.7,104360.0,416.601
2025-06-02 13:20:00-04:00,78,104330.4,104392.9,104294.6,104378.2,297.424
2025-06-02 13:15:00-04:00,79,104066.6,104337.7,104043.4,104330.5,325.013
2025-06-02 13:10:00-04:00,80,104233.5,104299.8,104029.9,104066.6,301.169
2025-06-02 13:05:00-04:00,81,104200.3,104304.9,104181.9,104233.4,426.914
2025-06-02 13:00:00-04:00,82,104234.7,104327.0,104182.4,104200.4,369.133
2025-06-02 12:55:00-04:00,83,104239.5,104320.0,104191.8,104234.6,301.554
2025-06-02 12:50:00-04:00,84,104028.3,104250.0,103994.0,104239.6,311.651
2025-06-02 12:45:00-04:00,85,104061.1,104194.3,104017.7,104028.3,226.999
