Datetime,Open,High,Low,Close,Volume
2025-05-23 08:15:00-04:00,2542.78,2545.32,2497.0,2544.57,391213.543
2025-05-23 08:30:00-04:00,2544.57,2556.41,2537.94,2544.1,181076.564
2025-05-23 08:45:00-04:00,2544.09,2549.94,2533.8,2547.51,100904.558
2025-05-23 09:00:00-04:00,2547.52,2553.75,2536.0,2548.78,92085.335
2025-05-23 09:15:00-04:00,2548.79,2563.17,2546.0,2558.55,165883.816
2025-05-23 09:30:00-04:00,2558.55,2581.94,2555.67,2572.75,238896.502
2025-05-23 09:45:00-04:00,2572.75,2582.9,2563.25,2580.61,117630.713
2025-05-23 10:00:00-04:00,2580.61,2591.19,2573.3,2583.33,132358.44
2025-05-23 10:15:00-04:00,2583.32,2585.63,2570.44,2573.28,70697.304
2025-05-23 10:30:00-04:00,2573.27,2581.3,2571.63,2576.6,40050.387
2025-05-23 10:45:00-04:00,2576.59,2587.25,2572.49,2573.09,60916.942
2025-05-23 11:00:00-04:00,2573.09,2580.29,2564.28,2575.41,94445.661
2025-05-23 11:15:00-04:00,2575.42,2579.55,2571.46,2575.53,44912.557
2025-05-23 11:30:00-04:00,2575.52,2581.59,2573.34,2575.49,43912.04
2025-05-23 11:45:00-04:00,2575.49,2575.68,2565.0,2567.38,64288.241
2025-05-23 12:00:00-04:00,2567.37,2575.0,2554.51,2558.99,124653.711
2025-05-23 12:15:00-04:00,2558.99,2571.9,2545.12,2567.93,158738.735
2025-05-23 12:30:00-04:00,2567.92,2568.99,2553.84,2556.82,54782.477
2025-05-23 12:45:00-04:00,2556.81,2566.95,2556.81,2565.87,37893.791
2025-05-23 13:00:00-04:00,2565.87,2578.91,2564.56,2578.42,75514.711
2025-05-23 13:15:00-04:00,2578.42,2585.94,2575.28,2584.23,52563.685
2025-05-23 13:30:00-04:00,2584.22,2584.23,2566.74,2569.57,52384.898
2025-05-23 13:45:00-04:00,2569.56,2579.66,2568.06,2575.77,33864.275
2025-05-23 14:00:00-04:00,2575.77,2580.69,2571.23,2574.58,28957.777
2025-05-23 14:15:00-04:00,2574.57,2576.41,2554.74,2565.89,103466.828
2025-05-23 14:30:00-04:00,2565.88,2569.0,2560.71,2563.8,31491.818
2025-05-23 14:45:00-04:00,2563.79,2564.04,2552.0,2558.7,71899.74
2025-05-23 15:00:00-04:00,2558.71,2574.64,2555.24,2570.61,48334.383
2025-05-23 15:15:00-04:00,2570.6,2571.79,2563.27,2567.5,23990.576
2025-05-23 15:30:00-04:00,2567.49,2572.47,2565.57,2569.14,18293.076
2025-05-23 15:45:00-04:00,2569.14,2569.14,2556.03,2559.76,42350.617
2025-05-23 16:00:00-04:00,2559.77,2559.9,2548.53,2551.02,54024.529
2025-05-23 16:15:00-04:00,2551.03,2561.52,2551.02,2561.13,22670.573
2025-05-23 16:30:00-04:00,2561.13,2561.62,2524.84,2541.81,136332.28
2025-05-23 16:45:00-04:00,2541.81,2549.71,2538.86,2542.31,30604.513
2025-05-23 17:00:00-04:00,2542.31,2542.5,2529.0,2538.85,42404.276
2025-05-23 17:15:00-04:00,2538.85,2552.64,2538.84,2544.04,38067.955
2025-05-23 17:30:00-04:00,2544.04,2544.04,2534.6,2539.26,31011.058
2025-05-23 17:45:00-04:00,2539.26,2546.18,2526.0,2533.5,36726.829
2025-05-23 18:00:00-04:00,2533.5,2557.31,2531.0,2556.6,81291.87
2025-05-23 18:15:00-04:00,2556.6,2558.18,2547.05,2548.04,61889.095
2025-05-23 18:30:00-04:00,2548.04,2552.41,2535.45,2535.67,25536.426
2025-05-23 18:45:00-04:00,2535.68,2540.92,2529.0,2537.6,52943.604
2025-05-23 19:00:00-04:00,2537.6,2541.72,2520.0,2531.21,62509.699
2025-05-23 19:15:00-04:00,2531.21,2531.76,2519.64,2528.65,43687.973
2025-05-23 19:30:00-04:00,2528.65,2535.33,2502.1,2513.96,165873.156
2025-05-23 19:45:00-04:00,2513.96,2528.76,2505.01,2525.39,88985.36
2025-05-23 20:00:00-04:00,2525.38,2542.75,2515.73,2536.91,72042.261
2025-05-23 20:15:00-04:00,2536.9,2543.62,2525.0,2525.26,48579.112
2025-05-23 20:30:00-04:00,2525.26,2537.61,2525.0,2528.87,25867.149
2025-05-23 20:45:00-04:00,2528.87,2529.88,2513.97,2514.99,51680.29
2025-05-23 21:00:00-04:00,2514.99,2527.16,2514.4,2518.68,34278.189
2025-05-23 21:15:00-04:00,2518.69,2534.48,2518.37,2527.47,43656.551
2025-05-23 21:30:00-04:00,2527.46,2534.6,2527.3,2531.68,19912.278
2025-05-23 21:45:00-04:00,2531.69,2533.8,2521.8,2523.36,19252.498
2025-05-23 22:00:00-04:00,2523.36,2531.81,2517.39,2529.3,26846.661
2025-05-23 22:15:00-04:00,2529.3,2538.8,2529.3,2536.79,28907.652
2025-05-23 22:30:00-04:00,2536.78,2543.75,2534.6,2540.65,25367.66
2025-05-23 22:45:00-04:00,2540.66,2544.45,2536.37,2539.75,17341.339
2025-05-23 23:00:00-04:00,2539.75,2549.68,2536.79,2546.54,36876.515
2025-05-23 23:15:00-04:00,2546.55,2555.05,2545.05,2551.78,44905.293
2025-05-23 23:30:00-04:00,2551.75,2552.81,2546.15,2547.35,19863.123
2025-05-23 23:45:00-04:00,2547.34,2550.6,2543.77,2548.98,18179.786
2025-05-24 00:00:00-04:00,2548.98,2552.06,2544.73,2549.11,18887.146
2025-05-24 00:15:00-04:00,2549.11,2553.71,2548.74,2551.25,16213.472
2025-05-24 00:30:00-04:00,2551.25,2558.0,2549.44,2556.2,23685.996
2025-05-24 00:45:00-04:00,2556.2,2562.33,2555.18,2558.2,40242.681
2025-05-24 01:00:00-04:00,2558.21,2559.36,2550.25,2552.33,29633.724
2025-05-24 01:15:00-04:00,2552.32,2552.53,2543.65,2549.86,43036.62
2025-05-24 01:30:00-04:00,2549.85,2552.1,2543.57,2545.94,23805.984
2025-05-24 01:45:00-04:00,2545.94,2550.49,2542.0,2549.97,20361.259
2025-05-24 02:00:00-04:00,2549.97,2554.63,2548.7,2550.13,18791.686
2025-05-24 02:15:00-04:00,2550.12,2550.82,2544.04,2549.3,18519.576
2025-05-24 02:30:00-04:00,2549.29,2549.34,2534.1,2542.97,56281.074
2025-05-24 02:45:00-04:00,2542.98,2546.58,2536.58,2546.35,23513.445
2025-05-24 03:00:00-04:00,2546.35,2558.0,2546.35,2554.77,42533.043
2025-05-24 03:15:00-04:00,2554.77,2559.33,2553.6,2558.25,27146.993
2025-05-24 03:30:00-04:00,2558.25,2558.27,2548.06,2550.43,30173.082
2025-05-24 03:45:00-04:00,2550.43,2550.75,2543.45,2545.79,36787.616
2025-05-24 04:00:00-04:00,2545.78,2556.6,2544.72,2552.99,42875.383
2025-05-24 04:15:00-04:00,2553.0,2553.34,2543.81,2547.39,25744.88
2025-05-24 04:30:00-04:00,2547.38,2553.33,2545.0,2552.03,19585.309
2025-05-24 04:45:00-04:00,2552.03,2557.68,2551.69,2555.9,22916.139
2025-05-24 05:00:00-04:00,2555.88,2557.96,2551.63,2552.52,24240.389
2025-05-24 05:15:00-04:00,2552.53,2559.5,2552.43,2557.12,20260.726
2025-05-24 05:30:00-04:00,2557.13,2559.04,2554.5,2557.08,14097.645
2025-05-24 05:45:00-04:00,2557.07,2557.95,2549.97,2551.54,20032.384
2025-05-24 06:00:00-04:00,2551.53,2554.77,2551.1,2551.72,20974.855
2025-05-24 06:15:00-04:00,2551.71,2558.79,2551.64,2558.58,23130.838
2025-05-24 06:30:00-04:00,2558.57,2571.59,2558.36,2569.03,100110.333
2025-05-24 06:45:00-04:00,2569.04,2574.5,2566.26,2568.61,54880.906
2025-05-24 07:00:00-04:00,2568.61,2574.44,2565.23,2565.51,38343.039
2025-05-24 07:15:00-04:00,2565.5,2569.82,2562.17,2566.65,33053.318
2025-05-24 07:30:00-04:00,2566.66,2570.46,2563.53,2563.54,23985.901
2025-05-24 07:45:00-04:00,2563.53,2565.96,2560.98,2562.14,18282.303
2025-05-24 08:00:00-04:00,2562.15,2564.37,2549.95,2556.44,51991.991
2025-05-24 08:15:00-04:00,2556.44,2559.54,2547.07,2555.39,58579.185
2025-05-24 08:30:00-04:00,2555.38,2558.28,2552.22,2556.18,19013.588
2025-05-24 08:45:00-04:00,2556.17,2559.15,2553.0,2558.08,20320.052
2025-05-24 09:00:00-04:00,2558.08,2561.73,2552.02,2553.58,31812.465
2025-05-24 09:15:00-04:00,2553.58,2556.88,2547.0,2555.95,28468.989
2025-05-24 09:30:00-04:00,2555.95,2556.81,2549.72,2551.47,19565.046
2025-05-24 09:45:00-04:00,2551.47,2553.53,2542.36,2545.45,51529.737
2025-05-24 10:00:00-04:00,2545.44,2553.84,2542.34,2552.19,35205.35
2025-05-24 10:15:00-04:00,2552.18,2557.57,2547.71,2548.64,24207.529
2025-05-24 10:30:00-04:00,2548.63,2556.63,2546.21,2553.13,19867.556
2025-05-24 10:45:00-04:00,2553.13,2560.45,2553.13,2557.45,27269.785
2025-05-24 11:00:00-04:00,2557.44,2563.88,2554.29,2559.8,30359.569
