timestamp,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base,Taker_buy_quote,Ignore
2025-05-26 22:26:00-04:00,108448.6,108576.9,108448.5,108567.2,255.044,1748312819999,27680736.9143,4437,209.626,22750776.0934,0
2025-05-26 22:27:00-04:00,108567.1,108570.8,108450.0,108486.1,108.322,1748312879999,11754939.6261,3164,41.02,4451481.2219,0
2025-05-26 22:28:00-04:00,108486.1,108540.7,108486.0,108540.7,33.929,1748312939999,3681706.2901,1609,24.075,2612381.3447,0
2025-05-26 22:29:00-04:00,108540.7,108550.0,108523.5,108548.4,41.858,1748312999999,4543359.7819,1716,27.96,3034848.1506,0
2025-05-26 22:30:00-04:00,108548.4,108550.0,108504.1,108538.7,71.874,1748313059999,7800057.1548,1859,41.795,4535783.6924,0
2025-05-26 22:31:00-04:00,108538.7,108540.0,108503.4,108534.6,51.529,1748313119999,5592386.7302,1666,23.08,2504788.8393,0
2025-05-26 22:32:00-04:00,108534.5,108534.6,108500.1,108523.6,33.432,1748313179999,3627793.9892,1431,18.318,1987671.1533,0
2025-05-26 22:33:00-04:00,108523.6,108543.0,108500.7,108542.9,40.0,1748313239999,4340756.0269,1658,26.16,2838919.6034,0
2025-05-26 22:34:00-04:00,108542.9,108623.0,108542.9,108579.3,124.645,1748313299999,13534934.7184,3371,83.238,9038251.8884,0
2025-05-26 22:35:00-04:00,108579.2,108627.6,108568.1,108585.4,146.412,1748313359999,15901245.5593,3039,57.505,6245493.2967,0
2025-05-26 22:36:00-04:00,108585.4,108659.1,108585.4,108630.0,83.288,1748313419999,9048509.1317,2569,57.786,6277929.8684,0
2025-05-26 22:37:00-04:00,108630.1,108642.8,108620.0,108642.8,26.069,1748313479999,2831822.0685,925,13.108,1423901.9149,0
2025-05-26 22:38:00-04:00,108642.8,108642.8,108588.0,108596.2,69.982,1748313539999,7601105.9235,2051,17.341,1883476.2143,0
2025-05-26 22:39:00-04:00,108596.3,108606.5,108525.6,108552.9,94.768,1748313599999,10289284.7304,2192,15.4,1671695.1861,0
2025-05-26 22:40:00-04:00,108552.9,108552.9,108407.5,108427.3,366.567,1748313659999,39760587.8703,4374,68.919,7475441.8168,0
2025-05-26 22:41:00-04:00,108427.3,108427.3,108387.0,108395.1,119.393,1748313719999,12942758.9878,2621,28.523,3091934.4388,0
2025-05-26 22:42:00-04:00,108395.1,108448.1,108395.1,108447.2,66.964,1748313779999,7260977.8605,1600,53.974,5852385.3581,0
2025-05-26 22:43:00-04:00,108447.2,108499.7,108447.2,108478.9,62.312,1748313839999,6759998.0827,1481,48.986,5314270.9938,0
2025-05-26 22:44:00-04:00,108478.9,108485.9,108462.2,108485.8,24.198,1748313899999,2624859.4026,914,9.955,1079836.2186,0
2025-05-26 22:45:00-04:00,108485.8,108495.5,108438.7,108443.5,47.056,1748313959999,5103290.73,1453,31.527,3418999.4266,0
2025-05-26 22:46:00-04:00,108443.5,108467.9,108426.8,108467.8,42.82,1748314019999,4643506.7664,990,28.049,3041716.0116,0
2025-05-26 22:47:00-04:00,108467.8,108467.9,108396.0,108396.0,74.799,1748314079999,8110065.0687,1751,5.036,546004.515,0
2025-05-26 22:48:00-04:00,108396.1,108396.1,108307.8,108349.9,132.561,1748314139999,14363352.7444,2802,32.916,3566027.3184,0
2025-05-26 22:49:00-04:00,108349.9,108349.9,108293.7,108330.9,101.619,1748314199999,11006950.1994,1841,38.606,4181383.6076,0
2025-05-26 22:50:00-04:00,108330.9,108331.0,108029.1,108048.6,749.72,1748314259999,81081263.5263,10183,171.652,18563539.2603,0
2025-05-26 22:51:00-04:00,108046.3,108089.8,107900.0,107900.0,726.611,1748314319999,78463943.7853,11761,252.208,27235664.4493,0
2025-05-26 22:52:00-04:00,107900.0,107990.4,107855.0,107987.6,728.274,1748314379999,78575774.8977,11424,407.807,44000990.6766,0
2025-05-26 22:53:00-04:00,107987.6,108117.7,107983.8,108113.6,401.716,1748314439999,43399352.5707,8479,289.315,31256490.3404,0
2025-05-26 22:54:00-04:00,108113.7,108230.5,108113.6,108189.0,357.524,1748314499999,38673955.0096,5959,273.442,29579129.6491,0
2025-05-26 22:55:00-04:00,108189.0,108219.8,108125.0,108181.4,242.645,1748314559999,26245353.0732,3923,180.472,19519998.2204,0
2025-05-26 22:56:00-04:00,108182.6,108237.1,108140.1,108237.0,155.66,1748314619999,16841321.9647,3462,102.955,11138956.1861,0
2025-05-26 22:57:00-04:00,108237.0,108250.0,108164.8,108227.9,91.443,1748314679999,9895768.7048,3038,50.882,5506298.8751,0
2025-05-26 22:58:00-04:00,108227.8,108253.8,108208.6,108227.5,174.695,1748314739999,18908990.5976,3251,67.748,7332573.8749,0
2025-05-26 22:59:00-04:00,108227.5,108232.5,108206.3,108220.0,50.485,1748314799999,5463704.385,1418,24.039,2601548.8503,0
2025-05-26 23:00:00-04:00,108220.1,108307.9,108220.0,108307.4,137.978,1748314859999,14936877.3242,2909,121.895,13196083.0327,0
2025-05-26 23:01:00-04:00,108307.4,108362.0,108232.0,108326.7,254.217,1748314919999,27535612.7819,4937,129.116,13984287.977,0
2025-05-26 23:02:00-04:00,108326.7,108385.5,108324.1,108380.8,136.96,1748314979999,14840718.3363,3103,92.087,9978434.7166,0
2025-05-26 23:03:00-04:00,108380.7,108543.7,108380.7,108532.8,621.065,1748315039999,67380381.8989,8294,392.208,42548100.886,0
2025-05-26 23:04:00-04:00,108532.8,108588.8,108444.6,108444.6,340.83,1748315099999,36992837.4498,6134,125.141,13583836.1594,0
2025-05-26 23:05:00-04:00,108444.6,108721.8,108439.4,108721.4,516.005,1748315159999,56046598.7139,10075,404.217,43905815.7866,0
2025-05-26 23:06:00-04:00,108721.8,108800.0,108586.9,108614.8,341.872,1748315219999,37163906.9053,9518,219.853,23904557.2541,0
2025-05-26 23:07:00-04:00,108614.8,108709.5,108614.8,108709.5,126.24,1748315279999,13715597.9262,5718,70.287,7636955.977,0
2025-05-26 23:08:00-04:00,108709.5,108709.5,108629.2,108660.7,78.964,1748315339999,8580726.122,2512,32.98,3583513.1605,0
2025-05-26 23:09:00-04:00,108660.8,108734.4,108648.3,108663.8,131.119,1748315399999,14252386.8048,3591,71.548,7777320.5372,0
2025-05-26 23:10:00-04:00,108663.7,108663.8,108622.1,108658.8,61.75,1748315459999,6708788.6609,2188,19.687,2138823.1992,0
2025-05-26 23:11:00-04:00,108658.8,108713.8,108644.9,108713.8,65.712,1748315519999,7140951.2248,2056,29.07,3159173.002,0
2025-05-26 23:12:00-04:00,108713.7,108984.5,108713.7,108964.2,868.293,1748315579999,94553063.9086,13661,607.749,66179605.657,0
2025-05-26 23:13:00-04:00,108964.2,109026.0,108898.5,108996.2,490.982,1748315639999,53509384.891,8902,251.674,27428645.6204,0
2025-05-26 23:14:00-04:00,108996.2,109001.2,108875.0,108886.0,234.762,1748315699999,25567872.2655,4052,69.065,7521672.1679,0
2025-05-26 23:15:00-04:00,108886.1,108981.5,108886.1,108962.9,264.443,1748315759999,28805195.368,5530,133.469,14539250.2717,0
2025-05-26 23:16:00-04:00,108963.0,109050.0,108901.0,108942.2,376.57,1748315819999,41033704.3514,6766,242.437,26416399.2557,0
2025-05-26 23:17:00-04:00,108941.8,109285.4,108901.0,109134.0,1118.656,1748315879999,122065106.4392,15944,716.875,78221616.5072,0
2025-05-26 23:18:00-04:00,109134.0,109177.8,109082.8,109082.8,236.234,1748315939999,25781658.2181,4218,72.859,7951462.6572,0
2025-05-26 23:19:00-04:00,109082.8,109181.9,109040.3,109143.0,462.898,1748315999999,50507167.6432,6073,331.247,36146809.4573,0
2025-05-26 23:20:00-04:00,109143.0,109143.0,108920.7,108949.3,480.534,1748316059999,52383576.5713,7090,126.132,13752149.6076,0
2025-05-26 23:21:00-04:00,108949.3,108959.3,108900.0,108939.2,222.809,1748316119999,24271513.1094,4256,124.9,13605702.8795,0
2025-05-26 23:22:00-04:00,108939.2,108941.9,108894.1,108922.0,113.504,1748316179999,12362108.6096,2732,57.463,6258602.7303,0
2025-05-26 23:23:00-04:00,108921.9,108922.0,108887.2,108900.8,75.169,1748316239999,8185819.8176,1952,26.829,2921599.9548,0
2025-05-26 23:24:00-04:00,108900.9,108930.0,108890.9,108891.0,102.772,1748316299999,11193149.9298,2082,52.999,5772063.583,0
2025-05-26 23:25:00-04:00,108891.0,108913.0,108889.2,108894.9,51.321,1748316359999,5588790.545,1649,29.277,3188253.0478,0
2025-05-26 23:26:00-04:00,108895.0,108910.0,108892.7,108907.7,41.221,1748316419999,4489064.0678,1203,21.542,2345945.9064,0
2025-05-26 23:27:00-04:00,108907.7,108918.0,108870.9,108889.1,108.377,1748316479999,11800795.565,2742,57.438,6254159.2354,0
